Postcode,HealthBoard
AB1 3QA,S08000020
AB1 3QB,S08000020
AB1 3QD,S08000020
AB1 3RA,S08000020
AB1 3RB,S08000020
AB1 3RD,S08000020
AB1 3RE,S08000020
AB1 3RG,S08000020
AB1 3SD,S08000020
AB1 3SE,S08000020
AB1 3SF,S08000020
AB1 3SH,S08000020
AB1 3SJ,S08000020
AB1 3SL,S08000020
AB1 3SN,S08000020
AB1 3SP,S08000020
AB1 3SQ,S08000020
AB1 3SR,S08000020
AB1 3TP,S08000020
AB1 3TQ,S08000020
AB1 3TR,S08000020
AB1 3TS,S08000020
AB1 3TT,S08000020
AB1 4AP,S08000020
AB1 4AQ,S08000020
AB1 4AR,S08000020
AB1 4AS,S08000020
AB1 4AT,S08000020
AB1 3NB,S08000020
AB1 3ND,S08000020
AB1 3NE,S08000020
